#columns: id,definition,preferred_spelling,phonetic_spelling,word_class,conjugation_kind,jlpt_level,date_added,row_num,lessons,tags
f552ea3a-8b7f-5433-aa20-4c93a6868fb3,Good morning,おはよう,おはよう,expression,,2,2022-04-24,1,GENKI3_L00,greeting expression genki3-l00
8359d7d1-d6d6-5995-962e-3f6566232911,Good morning (polite),おはようございます,おはようございます,expression,,,2022-04-24,2,GENKI3_L00,greeting expression genki3-l00
4c55fd59-1160-52d2-8383-00f292668c1f,Good afternoon,こんにちは,こんにちは,expression,,3,2022-04-24,3,DUO_01_02 GENKI3_L00,greeting expression duo-01-02 genki3-l00
8d46e404-38ff-518c-a25d-cb95d6f2c511,Good evening,こんばんは,こんばんは,expression,,2,2022-04-24,4,GENKI3_L00,greeting expression genki3-l00
1184380a-27db-5f8e-841d-7b105c2a7366,Goodbye,さようなら,さようなら,expression,,2,2022-04-24,5,DUO_01_02 GENKI3_L00,greeting expression duo-01-02 genki3-l00
3ecfb07b-0a66-555c-97c4-5af7cb806507,Goodnight,おやすみ,おやすみ,expression,,2,2022-04-24,6,GENKI3_L00,greeting expression genki3-l00
a419bb62-f061-5ac6-856b-6f85002642c6,Goodnight (polite),おやすみなさい,おやすみなさい,expression,,,2022-04-24,7,GENKI3_L00,greeting expression genki3-l00
c7a645f7-256a-536a-a5ee-5f85e8ce1137,Thank you,ありがとう,ありがとう,expression,,3,2022-04-24,8,GENKI3_L00,greeting expression genki3-l00
b626308d-6418-5a2c-9151-7a8a368f27a3,Thank you (polite),ありがとうございます,ありがとうございます,expression,,,2022-04-24,9,GENKI3_L00,greeting expression genki3-l00
1913dbc6-4712-549a-9274-dc3511cecbfe,I'll go and come back,行ってきます,いってきます,expression,,,2022-04-24,10,GENKI3_L00,greeting expression genki3-l00
e7161fcf-fbaf-5971-8adb-70745ae24103,Please go and come back,いってらっしゃい,いってらっしゃい,expression,,2,2022-04-24,11,GENKI3_L00,greeting expression genki3-l00
c2a4dbcf-dba1-5e27-964f-5e2f7b358725,I'm home,ただいま,ただいま,expression,,,2022-04-24,12,GENKI3_L00,greeting expression genki3-l00
b06abb09-c9bd-5beb-a7b7-d184bedf72ca,Welcome home,お帰り,おかえり,expression,,2,2022-04-24,13,GENKI3_L00,greeting expression genki3-l00
47b08527-885b-50bb-b538-180dc308199a,Welcome home (polite),お帰りなさい,おかえりなさい,expression,,,2022-04-24,14,GENKI3_L00,greeting expression genki3-l00
797b03e3-1495-52c0-baf4-ffb9cb324089,Thank you for the meal (before),頂きます,いただきます,expression,,3,2022-04-24,15,GENKI3_L00,greeting expression genki3-l00
59bad243-8b31-54f3-9d7b-6de0961bc059,Thank you for the meal (after),ごちそうさま,ごちそうさま,expression,,2,2022-04-24,16,GENKI3_L00,greeting expression genki3-l00
05436324-1858-5a2f-a2a1-a41d00f862cc,"Thank you for the meal (after, polite)",ごちそうさまでした,ごちそうさまでした,expression,,,2022-04-24,17,GENKI3_L00,greeting expression genki3-l00
136d6d6d-0487-5709-ac27-2c376bfebd43,How do you do?; I am glad to meet you,はじめまして,はじめまして,expression,,2,2022-04-24,18,GENKI3_L00,greeting expression genki3-l00
ddd5fd1f-f041-576c-a479-d8d9a3221370,Nice to meet you.,よろしくお願いします,よろしくおねがいします,expression,,,2022-04-24,19,GENKI3_L00,greeting expression genki3-l00
d43cc787-37af-5dd1-92b5-fc756f18298a,college; university,大学,だいがく,noun,,5,2022-04-24,20,DUO_02_05 GENKI3_L01,place school noun duo-02-05 genki3-l01
3c890a54-15f9-56e1-9bd5-3c91274b6246,high school,高校,こうこう,noun,,4,2022-04-24,21,DUO_02_05 GENKI3_L01,place school noun duo-02-05 genki3-l01
6de86986-05ed-58da-a055-9d49c89f7a06,student,学生,がくせい,noun,,5,2022-04-24,22,GENKI3_L01,school noun genki3-l01
d1cb9e5b-6cc5-5339-b33d-4e948229156e,college student; university student,大学生,だいがくせい,noun,,4,2022-04-24,23,DUO_02_05 GENKI3_L01,school noun duo-02-05 genki3-l01
efe5fea4-0476-5328-bd18-2a469a8b6c3e,international student; foreign exchange student,留学生,りゅうがくせい,noun,,5,2022-04-24,24,DUO_02_05 GENKI3_L01,school noun duo-02-05 genki3-l01
c21b42a5-1ef1-51cf-9402-199d2b562a47,teacher; professor,先生,せんせい,noun,,5,2022-04-24,25,GENKI3_L01,school noun genki3-l01
057a7cd1-f1a6-50e2-8449-3b6f04c67305,...year student,〜年生,〜ねんせい,noun,,1,2022-04-24,26,DUO_02_05 GENKI3_L01,school noun duo-02-05 genki3-l01
e71aac30-c949-5b47-b118-d02a5d703701,major,専攻,せんこう,noun,,3,2022-04-24,27,GENKI3_L01,school noun genki3-l01
4b1d8b7f-6477-5881-9439-1a7f30b26c9d,I,私,わたし,noun,,5,2022-04-24,28,DUO_01_02 GENKI3_L01,person noun duo-01-02 genki3-l01
f65b93fb-1086-5405-8163-394db3e83014,friend,友達,ともだち,noun,,5,2022-04-24,29,GENKI3_L01,person noun genki3-l01
c26e8356-f73a-5ddf-b045-432580c37468,Mr./Ms.,〜さん,〜さん,suffix,,1,2022-04-24,30,GENKI3_L01,person suffix genki3-l01
0ef6972f-5e7d-5b51-be7f-8f39a5fd5e0e,...people,〜人,〜じん,suffix,,1,2022-04-24,31,GENKI3_L01,person suffix genki3-l01
146b7705-d9cd-511f-988c-5b2cc7661b75,of course,もちろん,もちろん,adverb,,3,2022-04-24,32,DUO_02_03,adverb duo-02-03
8bedfb60-1599-58b0-9568-5e72b8cf6b7e,office,会社,かいしゃ,noun,,5,2022-04-24,33,DUO_02_03,place noun duo-02-03
25f93b07-dc04-553a-8794-329cc907dbe5,school,学校,がっこう,noun,,5,2022-04-24,34,DUO_02_03,place school noun duo-02-03
37eba762-70cf-5c5c-b689-621f26c1ee5f,elementary school,小学,しょうがく,noun,,,2022-04-24,35,DUO_02_05,place school noun duo-02-05
99cdf9f9-df8c-5d7a-9ea1-a7c003c9f289,middle school,中学,ちゅうがく,noun,,3,2022-04-24,36,DUO_02_05,place school noun duo-02-05
947e6f87-e4fe-5b27-9bd3-215e8b1fc71a,foreigner,外国人,がいこくじん,noun,,5,2022-04-24,37,DUO_02_05,person noun duo-02-05
dd191fac-e29b-5262-b2a6-f9f2875a4a3f,to live; to reside; to inhabit,住む,すむ,verb,godan verb,5,2022-04-24,38,DUO_02_05,verb godan-verb duo-02-05
fc82f2ac-3b17-582f-9259-7200e1430824,Kyoto,京都,きょうと,proper noun,,,2022-04-24,39,DUO_02_05 GENKI3_L03,city place proper-noun duo-02-05 genki3-l03
15c5fee6-dda7-5d40-b7fd-382d97a28b9c,Osaka,大阪,おおさか,proper noun,,,2022-04-24,40,DUO_02_05,city place proper-noun duo-02-05
39458010-a5eb-5b13-b054-4cc458702c56,Tokyo,東京,とおきょう,proper noun,,,2022-04-24,41,DUO_02_05,city place proper-noun duo-02-05
091d6d9c-5d19-51f5-bc28-3b5281042464,to say; to be called; name,申す,もうす,verb,godan verb,4,2022-04-24,42,DUO_02_05,verb godan-verb duo-02-05
b7d078d1-235f-4462-b052-453aa5f6dfcf,"to differ, to disagree; to be wrong",違う,ちがう,verb,godan verb,5,2022-08-10,43,,verb godan-verb
6e44df4a-4366-5c1a-86af-87a4e5f61fc6,That is not right (this is wrong),違います,ちがいます,expression,,,2022-04-24,44,DUO_02_05,expression duo-02-05
7748dd60-2126-5e30-a5b6-39596a0e25e4,What is the difference?,違いは何ですか,ちがいはなんですか,expression,,,2022-04-24,45,DUO_02_05,expression duo-02-05
dce3fe6a-497c-54b2-a121-df6767084258,Now,今,いま,noun,,5,2022-04-24,46,DUO_02_02 GENKI3_L01,time noun duo-02-02 genki3-l01
42ffdbae-c27d-53a4-b113-95583953e16c,A.M.,午前,ごぜん,noun,,5,2022-04-24,47,DUO_02_03 GENKI3_L01,time noun duo-02-03 genki3-l01
94611381-0488-58aa-8cf2-12ad9ff4e2dd,P.M.,午後,ごご,noun,,5,2022-04-24,48,DUO_02_03 GENKI3_L01,time noun duo-02-03 genki3-l01
40502e18-b4ba-50b4-89b7-23fd3b4d4a21,...o'clock,〜時,〜じ,suffix,,,2022-04-24,49,DUO_02_02 GENKI3_L01,time suffix duo-02-02 genki3-l01
5372b023-b803-551c-9a7f-f404804f63f1,half; half-past,半,はん,noun,,5,2022-04-24,50,DUO_02_02 GENKI3_L01,time noun duo-02-02 genki3-l01
2cf1d32f-b261-5ba6-829c-a9f1237a88d6,"minute, arcminutes",~分,~ふん／~ぷん,noun,,1,2022-04-24,51,DUO_02_02,time noun duo-02-02
db9793c1-8b7c-481c-bc77-6d36eb4afb30,"part, portion, share",分,ぶん,noun,,3,2022-08-09,52,,noun
a39e794c-9682-5cd5-9c5e-dd961aa92bc5,approximately,〜ごろ,〜ごろ,noun,,3,2022-04-24,53,DUO_02_03,time noun duo-02-03
9e67a677-9058-536e-85d6-389ea5138c86,exactly,ちょうど,ちょうど,noun,,5,2022-04-24,54,DUO_02_02,time noun duo-02-02
252852aa-aefd-504b-b671-668a33020492,zero,零,れい,noun,,5,2022-04-24,55,DUO_02_03,number time noun duo-02-03
cc6a4913-6f39-521b-a0cf-9631f640800e,Japan,日本,にほん,proper noun,,3,2022-04-24,56,GENKI3_L01,country place proper-noun genki3-l01
522e0796-297d-5bf2-be85-e93596baa6bf,America,アメリカ,あめりか,proper noun,,4,2022-04-24,57,GENKI3_L01,country place proper-noun genki3-l01
a420a37b-593e-572e-aae7-d724eca6803d,...language,〜語,〜ご,noun,,3,2022-04-24,58,GENKI3_L01,noun genki3-l01
c59169cb-e5ad-5311-a9ce-43764a5ddda6,...years old,〜歳,〜さい,suffix,,,2022-04-24,59,GENKI3_L01,suffix genki3-l01
1731f988-dcfb-5b31-bda9-c8988a5711bf,telephone,電話,でんわ,noun,,5,2022-04-24,60,DUO_01_04 GENKI3_L01,noun duo-01-04 genki3-l01
f6524cfb-fa66-56ae-ae4c-0e38a8b6e54c,number (in a series),〜番,〜ばん,noun,,3,2022-04-24,61,GENKI3_L01,noun genki3-l01
d8f98686-282e-5c5f-88b2-4e046e707e54,number; series of digits,番号,ばんごう,noun,,5,2022-04-24,62,GENKI3_L01,noun genki3-l01
728f5a87-3848-5450-a941-f9cd0f898067,name,名前,なまえ,noun,,5,2022-04-24,63,GENKI3_L01,noun genki3-l01
507092ff-6dc3-5749-a9c3-79ba8d2bc360,what,何,なに／なん,pronoun,,5,2022-04-24,64,GENKI3_L01,pronoun genki3-l01
84e857b9-5605-51fb-bfb3-8cc08eb579d3,um,あのう,あのう,expression,,5,2022-04-24,65,GENKI3_L01,expression genki3-l01
dde2be42-c934-53fc-9dc6-3ce12b727924,yes,はい,はい,interjection,,5,2022-04-24,66,GENKI3_L01,interjection genki3-l01
0428342a-6b57-5e6f-b1c6-4aa6ccfdb267,no,いいえ,いいえ,interjection,,5,2022-04-24,67,GENKI3_L01,interjection genki3-l01
a48cfff2-551b-5525-bf29-f706571e7e15,that is so;  that is right,そうです,そうです,expression,,,2022-04-24,68,GENKI3_L01,expression genki3-l01
311cf3c0-5798-551b-a933-eb33c4ce7843,i see; is that so?,そうですか,そうですか,expression,,,2022-04-24,69,GENKI3_L01,expression genki3-l01
40483fe8-7fda-56b7-b28b-eedb9da50a52,England,イギリス,いぎりす,proper noun,,,2022-04-24,70,GENKI3_L01,country place proper-noun genki3-l01
2a0ff39c-471b-56d1-a2b2-39f20596f70c,Australia,オーストラリア,おおすとらりあ,proper noun,,,2022-04-24,71,GENKI3_L01,country place proper-noun genki3-l01
5cb08712-5c04-56f0-aaf6-a8e76a1e0ef4,Korea,韓国,かんこく,proper noun,,,2022-04-24,72,GENKI3_L01,country place proper-noun genki3-l01
b4a146e5-f483-50d5-8b18-ca71fdb3f570,Canada,カナダ,かなだ,proper noun,,,2022-04-24,73,GENKI3_L01,country place proper-noun genki3-l01
54ca6cf2-c9f0-5a77-b53c-8e4a2fbe76ac,China,中国,ちゅうごく,proper noun,,,2022-04-24,74,GENKI3_L01,country place proper-noun genki3-l01
f3f3ba33-de3b-5fa1-9b99-eee62ae2e024,India,インド,いんど,proper noun,,,2022-04-24,75,GENKI3_L01,country place proper-noun genki3-l01
eb20360e-5c1a-58b8-9bf8-040795c5bf0a,Egypt,エジプト,いじぷと,proper noun,,,2022-04-24,76,GENKI3_L01,country place proper-noun genki3-l01
